6.4,Peshawar Zalmi,Kamran Akmal,DJ Malan,Saeed Ajmal,1,0,0,Dubai International Cricket Stadium,63,Islamabad United,190
6.5,Peshawar Zalmi,DJ Malan,Kamran Akmal,Saeed Ajmal,1,0,0,Dubai International Cricket Stadium,64,Islamabad United,190
6.6,Peshawar Zalmi,Kamran Akmal,DJ Malan,Saeed Ajmal,1,0,0,Dubai International Cricket Stadium,65,Islamabad United,190
7.1,Peshawar Zalmi,Kamran Akmal,DJ Malan,Imran Khalid,0,0,0,Dubai International Cricket Stadium,65,Islamabad United,190
7.2,Peshawar Zalmi,Kamran Akmal,DJ Malan,Imran Khalid,1,0,0,Dubai International Cricket Stadium,66,Islamabad United,190
7.3,Peshawar Zalmi,DJ Malan,Kamran Akmal,Imran Khalid,1,0,0,Dubai International Cricket Stadium,67,Islamabad United,190
7.4,Peshawar Zalmi,Kamran Akmal,DJ Malan,Imran Khalid,6,0,0,Dubai International Cricket Stadium,73,Islamabad United,190
7.5,Peshawar Zalmi,Kamran Akmal,DJ Malan,Imran Khalid,1,0,0,Dubai International Cricket Stadium,74,Islamabad United,190
7.6,Peshawar Zalmi,DJ Malan,Kamran Akmal,Imran Khalid,0,0,0,Dubai International Cricket Stadium,74,Islamabad United,190
8.1,Peshawar Zalmi,Kamran Akmal,DJ Malan,Saeed Ajmal,1,0,0,Dubai International Cricket Stadium,75,Islamabad United,190
8.2,Peshawar Zalmi,DJ Malan,Kamran Akmal,Saeed Ajmal,0,0,0,Dubai International Cricket Stadium,75,Islamabad United,190
8.3,Peshawar Zalmi,DJ Malan,Kamran Akmal,Saeed Ajmal,6,0,0,Dubai International Cricket Stadium,81,Islamabad United,190
8.4,Peshawar Zalmi,DJ Malan,Kamran Akmal,Saeed Ajmal,1,0,0,Dubai International Cricket Stadium,82,Islamabad United,190
8.5,Peshawar Zalmi,Kamran Akmal,DJ Malan,Saeed Ajmal,0,0,0,Dubai International Cricket Stadium,82,Islamabad United,190
